!-------------------------------------------------------------------
! Pressure drop file for Pipe segment 1
!-------------------------------------------------------------------
! The following correlations are supported:
!
! ALIAS     FULL NAME
! -----     ---------
!
! BB73      Beggs and Brill. 1973. "A Study of Two-Phase Flow in Inclined Pipes"
! TABLE     3D interpolation of a pressure drop table
!
!-------------------------------------------------------------------

CORRELATION TABLE 

!qg		qo	qw	dp
!1000m³/d	m³/d	m³/d	kgf/cm²
40	1725	1950	27.67584098
40	1725	2025	27.93068298
40	1725	2100	28.18552497
40	1725	2175	28.45056065
40	1725	2250	28.72579001
40	1800	75	21.13149847
40	1800	150	21.39653415
40	1800	225	21.67176351
40	1800	300	21.93679918
40	1800	375	22.19164118
40	1800	450	23.10907238
40	1800	525	23.36391437
40	1800	600	23.61875637
40	1800	675	23.87359837
40	1800	750	23.97553517
40	1800	825	24.23037717
40	1800	900	24.47502548
40	1800	975	24.7196738
40	1800	1050	24.96432212
40	1800	1125	25.20897044
40	1800	1200	25.45361876
40	1800	1275	25.68807339
40	1800	1350	25.92252803
40	1800	1425	26.15698267
40	1800	1500	26.39143731
40	1800	1575	26.64627931
40	1800	1650	26.9011213
40	1800	1725	27.1559633
40	1800	1800	27.40061162
40	1800	1875	27.65545362
40	1800	1950	27.91029562
40	1800	2025	28.16513761
40	1800	2100	28.43017329
40	1800	2175	28.69520897
40	1800	2250	28.47094801
40	1875	75	21.40672783
40	1875	150	21.67176351
40	1875	225	21.93679918
40	1875	300	22.20183486
40	1875	375	22.45667686
40	1875	450	23.35372069
40	1875	525	23.60856269
40	1875	600	23.85321101
40	1875	675	23.96534149
40	1875	750	24.20998981
40	1875	825	24.45463812
40	1875	900	24.69928644
40	1875	975	24.94393476
40	1875	1050	25.18858308
40	1875	1125	25.42303772
40	1875	1200	25.65749235
40	1875	1275	25.89194699
40	1875	1350	26.12640163
40	1875	1425	26.38124363
40	1875	1500	26.63608563
40	1875	1575	26.88073394
40	1875	1650	27.13557594
40	1875	1725	27.39041794
40	1875	1800	27.63506626
40	1875	1875	27.88990826
40	1875	1950	28.14475025
40	1875	2025	28.40978593
40	1875	2100	28.67482161
40	1875	2175	28.45056065
40	1875	2250	28.70540265
40	1950	75	21.68195719
40	1950	150	21.94699286
40	1950	225	22.20183486
40	1950	300	22.45667686
40	1950	375	23.34352701
40	1950	450	23.58817533
40	1950	525	23.84301733
40	1950	600	23.94495413
40	1950	675	24.19979613
40	1950	750	24.44444444
40	1950	825	24.68909276
40	1950	900	24.9235474
40	1950	975	25.15800204
40	1950	1050	25.39245668
40	1950	1125	25.62691131
40	1950	1200	25.86136595
40	1950	1275	26.11620795
40	1950	1350	26.37104995
40	1950	1425	26.62589195
40	1950	1500	26.87054027
40	1950	1575	27.11518858
40	1950	1650	27.37003058
40	1950	1725	27.6146789
40	1950	1800	27.8695209
40	1950	1875	28.1243629
40	1950	1950	28.38939857
40	1950	2025	28.64424057
40	1950	2100	28.45056065
40	1950	2175	28.69520897
40	1950	2250	28.92966361
40	2025	75	21.95718654
40	2025	150	22.21202854
40	2025	225	22.45667686
40	2025	300	22.71151886
40	2025	375	23.57798165
40	2025	450	23.82262997
40	2025	525	23.93476045
40	2025	600	24.18960245
40	2025	675	24.43425076
40	2025	750	24.6687054
40	2025	825	24.90316004
40	2025	900	25.13761468
40	2025	975	25.37206932
40	2025	1050	25.60652396
40	2025	1125	25.86136595
40	2025	1200	26.11620795
40	2025	1275	26.36085627
40	2025	1350	26.60550459
40	2025	1425	26.85015291
40	2025	1500	27.1049949
40	2025	1575	27.34964322
40	2025	1650	27.60448522
40	2025	1725	27.84913354
40	2025	1800	28.11416922
40	2025	1875	28.36901121
40	2025	1950	28.18552497
40	2025	2025	28.45056065
40	2025	2100	28.68501529
40	2025	2175	28.90927625
40	2025	2250	29.14373089
40	2100	75	22.22222222
40	2100	150	22.46687054
40	2100	225	22.71151886
40	2100	300	23.56778797
40	2100	375	23.81243629
40	2100	450	23.92456677
40	2100	525	24.16921509
40	2100	600	24.4138634
40	2100	675	24.65851172
40	2100	750	24.88277268
40	2100	825	25.11722732
40	2100	900	25.35168196
40	2100	975	25.60652396
40	2100	1050	25.86136595
40	2100	1125	26.10601427
40	2100	1200	26.35066259
40	2100	1275	26.59531091
40	2100	1350	26.83995923
40	2100	1425	27.09480122
40	2100	1500	27.33944954
40	2100	1575	27.59429154
40	2100	1650	27.84913354
40	2100	1725	28.09378186
40	2100	1800	28.34862385
40	2100	1875	28.19571865
40	2100	1950	28.43017329
40	2100	2025	28.66462793
40	2100	2100	28.88888889
40	2100	2175	29.14373089
40	2100	2250	29.34760449
40	2175	75	22.47706422
40	2175	150	22.72171254
40	2175	225	22.96636086
40	2175	300	23.81243629
40	2175	375	23.91437309
40	2175	450	24.15902141
40	2175	525	24.40366972
40	2175	600	24.63812436
40	2175	675	24.86238532
40	2175	750	25.09683996
40	2175	825	25.35168196
40	2175	900	25.60652396
40	2175	975	25.85117227
40	2175	1050	26.09582059
40	2175	1125	26.34046891
40	2175	1200	26.58511723
40	2175	1275	26.82976555
40	2175	1350	27.07441386
40	2175	1425	27.32925586
40	2175	1500	27.58409786
40	2175	1575	27.83893986
40	2175	1650	28.09378186
40	2175	1725	27.94087666
40	2175	1800	28.17533129
40	2175	1875	28.40978593
40	2175	1950	28.65443425
40	2175	2025	28.88888889
40	2175	2100	29.08256881
40	2175	2175	29.30682977
40	2175	2250	29.50050968
40	2250	75	22.73190622
40	2250	150	22.96636086
40	2250	225	23.19062181
40	2250	300	23.91437309
40	2250	375	24.14882773
40	2250	450	24.39347604
40	2250	525	24.62793068
40	2250	600	24.872579
40	2250	675	25.127421
40	2250	750	25.35168196
40	2250	825	25.59633028
40	2250	900	25.84097859
40	2250	975	26.08562691
40	2250	1050	26.33027523
40	2250	1125	26.57492355
40	2250	1200	26.81957187
40	2250	1275	27.07441386
40	2250	1350	27.32925586
40	2250	1425	27.58409786
40	2250	1500	27.83893986
40	2250	1575	27.68603466
40	2250	1650	27.93068298
40	2250	1725	28.16513761
40	2250	1800	28.40978593
40	2250	1875	28.62385321
40	2250	1950	28.83792049
40	2250	2025	29.05198777
40	2250	2100	29.22528033
40	2250	2175	29.39857288
40	2250	2250	29.55147808
80	75	75	0.581039755
80	75	150	20.86646279
80	75	225	26.36085627
80	75	300	29.14373089
80	75	375	32.44648318
80	75	450	32.9459735
80	75	525	32.42609582
80	75	600	32.5382263
80	75	675	31.71253823
80	75	750	30.63200815
80	75	825	29.48012232
80	75	900	28.04281346
80	75	975	25.96330275
80	75	1050	24.5667686
80	75	1125	22.66055046
80	75	1200	19.36799185
80	75	1275	17.4108053
80	75	1350	16.04485219
80	75	1425	16.37104995
80	75	1500	16.80937819
80	75	1575	17.2069317
80	75	1650	17.59429154
80	75	1725	17.98165138
80	75	1800	18.36901121
80	75	1875	18.75637105
80	75	1950	19.13353721
80	75	2025	19.53109072
80	75	2100	19.91845056
80	75	2175	20.1529052
80	75	2250	20.44852192
80	150	75	27.4108053
80	150	150	31.43730887
80	150	225	35.10703364
80	150	300	35.85117227
80	150	375	35.79001019
80	150	450	35.0764526
80	150	525	33.63914373
80	150	600	32.05912334
80	150	675	30.26503568
80	150	750	28.93985729
80	150	825	26.96228338
80	150	900	24.67889908
80	150	975	21.95718654
80	150	1050	18.87869521
80	150	1125	16.24872579
80	150	1200	15.03567788
80	150	1275	15.46381244
80	150	1350	15.87155963
80	150	1425	16.26911315
80	150	1500	16.66666667
80	150	1575	17.0540265
80	150	1650	17.44138634
80	150	1725	17.82874618
80	150	1800	18.21610601
80	150	1875	18.60346585
80	150	1950	18.99082569
80	150	2025	19.37818552
80	150	2100	19.65341488
80	150	2175	19.96941896
80	150	2250	20.26503568
80	225	75	30.42813456
80	225	150	34.18960245
80	225	225	35.21916412
80	225	300	35.11722732
80	225	375	34.54638124
80	225	450	33.16004077
80	225	525	31.59021407
80	225	600	29.83690112
80	225	675	28.13455657
80	225	750	26.63608563
80	225	825	24.4138634
80	225	900	21.83486239
80	225	975	18.71559633
80	225	1050	16.09582059
80	225	1125	14.90316004
80	225	1200	15.3312946
80	225	1275	15.73904179
80	225	1350	16.12640163
80	225	1425	16.52395515
80	225	1500	16.91131498
80	225	1575	17.29867482
80	225	1650	17.67584098
80	225	1725	18.06320082
80	225	1800	18.45056065
80	225	1875	18.83792049
80	225	1950	19.23547401
80	225	2025	19.62283384
80	225	2100	19.81651376
